Fe56,11981.2,2.42618e-11
alpha,115.754,2.64911e-13
Si28,570.632,1.30593e-12
alpha,206.47,4.72522e-13
alpha,2139.54,2.44687e-12
alpha,33014.2,6.30607e-12
proton,273.971,6.27001e-13
proton,2192.26,7.79291e-13
proton,2942.89,6.83609e-13
Fe56,27357.2,6.26074e-11
Fe56,79877.5,1.34837e-10
alpha,1766.95,1.42439e-12
C12,63.3829,1.45056e-13
C12,26615.5,7.64827e-12
Si28,132138,3.835e-11
C12,183.031,4.1888e-13
Fe56,1074.69,2.4595e-12
Fe56,20170,4.61604e-11
Si28,1143.64,2.50208e-12
Si28,13850.8,2.50407e-11
alpha,2671.41,1.75421e-12
alpha,13681.6,1.89848e-12
alpha,30539.5,3.90377e-12
alpha,39987.1,8.90869e-12
proton,17.183,3.93246e-14
proton,1888.44,6.81754e-13
proton,2888.56,1.28071e-12
Fe56,48631.9,1.07542e-10
Si28,53980.2,1.95354e-11
Fe56,87452.7,1.13978e-10
Fe56,229243,9.88235e-11
Fe56,2849.36,6.52096e-12
Si28,473.055,1.08262e-12
alpha,264.81,6.06038e-13
C12,171.838,3.93264e-13
